Designator,Mid X,Mid Y,Rotation,Layer
R15,69.5,-161.425,90.0,top
R16,69.5,-131.575,90.0,top
R17,69.95,-101.325,90.0,top
R18,69.45,-71.075,90.0,top
R19,69.5,-41.575,90.0,top
R2,118.0,-294.5,180.0,top
R20,129.75,-41.075,90.0,top
R21,129.45,-71.075,90.0,top
R22,129.45,-101.075,90.0,top
R23,129.5,-131.175,90.0,top
R24,129.5,-160.825,90.0,top
R25,129.45,-191.425,90.0,top
R26,129.2,-221.05,90.0,top
R27,129.2,-251.35,90.0,top
R28,99.5,-41.325,90.0,top
R29,99.7,-71.175,90.0,top
R3,162.0,-286.5,180.0,top
R30,99.45,-100.925,90.0,top
R31,99.5,-131.075,90.0,top
R32,99.5,-160.825,90.0,top
R33,99.45,-191.075,90.0,top
R34,99.2,-220.95,90.0,top
R35,99.2,-251.25,90.0,top
R36,188.75,-284.0,180.0,top
R37,189.75,-41.325,90.0,top
R38,310.0,-317.75,0.0,top
R39,306.25,-325.25,270.0,top
R4,39.25,-251.45,90.0,top
R40,189.7,-70.825,90.0,top
R41,189.45,-101.075,90.0,top
R42,189.5,-131.125,90.0,top
R43,189.5,-160.925,90.0,top
R44,189.45,-190.925,90.0,top
R45,189.2,-221.05,90.0,top
R46,189.2,-251.1,90.0,top
R47,159.5,-41.325,90.0,top
R48,159.45,-71.075,90.0,top
R49,159.45,-101.075,90.0,top
R5,39.2,-221.125,90.0,top
R50,159.5,-131.075,90.0,top
R51,159.5,-160.825,90.0,top
R52,159.45,-191.075,90.0,top
R53,159.2,-221.3,90.0,top
R54,159.2,-251.25,90.0,top
R55,253.0,-285.75,180.0,top
R56,250.0,-41.325,90.0,top
R57,249.7,-71.075,90.0,top
R58,249.45,-101.075,90.0,top
R59,249.5,-131.175,90.0,top
R6,39.55,-191.325,90.0,top
R60,249.5,-160.925,90.0,top
R61,249.45,-190.825,90.0,top
R62,249.2,-220.95,90.0,top
R63,249.2,-251.0,90.0,top
R64,220.0,-41.575,90.0,top
R65,219.95,-70.925,90.0,top
R66,219.45,-100.8625,90.0,top
